"situation","Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","Plant","Dominance","algorithm"
"usm_1",2018-06-27,"sor",18.25983,0,0,0,0,8.7,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-27,"sor",18.25983,0,0,0,0,8.7,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-28,"mai",39.86983,0,0,0,0,19.3,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-28,"mai",39.86983,0,0,0,0,19.3,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-28,"sor",31.86983,0,0,0,0,19.3,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-28,"sor",31.86983,0,0,0,0,19.3,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-29,"mai",61.22984,0,0,0,0,22.5,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-29,"mai",61.22984,0,0,0,0,22.5,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-29,"sor",49.22984,0,0,0,0,22.5,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-29,"sor",49.22984,0,0,0,0,22.5,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-06-30,"mai",82.25095,1e-05,0,0.00522,5e-05,21.1,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-06-30,"mai",82.25095,1e-05,0,0.00522,5e-05,21.1,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-06-30,"sor",66.25095,1e-05,0,0.0046,8e-05,21.1,181,226,237,2.8125,0,"sorghum","Principal","2.5D"
"usm_1",2018-06-30,"sor",66.25095,1e-05,0,0.0046,8e-05,21.1,181,226,237,2.8125,0,"sorghum","Principal","Beer"
"usm_1",2018-07-01,"mai",101.36095,0.00018,0,0.00652,0.00065,11.3,181,210,237,3.125,0.01,"maize","Associated","2.5D"
"usm_1",2018-07-01,"mai",101.36095,0.00018,0,0.00652,0.00065,11.3,181,210,237,3.125,0.01,"maize","Associated","Beer"
"usm_1",2018-07-01,"sor",77.09923,0.00019,0,0.00551,0.00067,11.3,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-01,"sor",77.09923,0.00019,0,0.00551,0.00067,11.3,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-02,"mai",120.81425,4e-04,0,0.00797,0.0022,17.4,181,210,237,3.125,0.01,"maize","Associated","Beer"
"usm_1",2018-07-02,"mai",120.81441,4e-04,0,0.00797,0.0022,17.4,181,210,237,3.125,0.01,"maize","Associated","2.5D"
"usm_1",2018-07-02,"sor",88.2079,0.00038,0,0.00617,0.00213,17.4,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-02,"sor",88.20801,0.00038,0,0.00617,0.00213,17.4,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-03,"mai",141.72426,0.00069,0,0.00978,0.00499,22.6,181,210,237,3.125,0.01,"maize","Associated","Beer"
"usm_1",2018-07-03,"mai",141.72441,0.00069,0,0.00978,0.00499,22.6,181,210,237,3.125,0.01,"maize","Associated","2.5D"
"usm_1",2018-07-03,"sor",100.38048,0.00063,0,0.00694,0.00451,22.6,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-03,"sor",100.38058,0.00063,0,0.00694,0.00451,22.6,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-04,"mai",162.56123,0.00106,0,0.01218,0.00502,14.8,181,210,237,3.125,0.01,"maize","Associated","Beer"
"usm_1",2018-07-04,"mai",162.56369,0.00106,0,0.01218,0.00502,14.8,181,210,237,3.125,0.01,"maize","Associated","2.5D"
"usm_1",2018-07-04,"sor",112.51869,0.00089,0,0.00789,0.00422,14.8,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-04,"sor",112.52045,0.00089,0,0.00789,0.00422,14.8,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-05,"mai",181.42123,0.00147,0,0.01516,0.01082,23,181,210,237,3.125,0.01813,"maize","Associated","Beer"
"usm_1",2018-07-05,"mai",181.42369,0.00147,0,0.01516,0.01082,23,181,210,237,3.125,0.01813,"maize","Associated","2.5D"
"usm_1",2018-07-05,"sor",123.24902,0.00115,0,0.00896,0.00847,23,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-05,"sor",123.25079,0.00115,0,0.00896,0.00847,23,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-06,"mai",203.3136,0.00209,0,0.01847,0.01435,21.5,181,210,237,3.125,0.02404,"maize","Associated","Beer"
"usm_1",2018-07-06,"mai",203.31815,0.00209,0,0.01847,0.01435,21.5,181,210,237,3.125,0.02404,"maize","Associated","2.5D"
"usm_1",2018-07-06,"sor",136.19151,0.00151,0,0.01003,0.01036,21.5,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-06,"sor",136.19478,0.00151,0,0.01003,0.01036,21.5,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-07,"mai",225.02361,0.00287,0,0.02322,0.01731,18.9,181,210,237,3.125,0.02899,"maize","Associated","Beer"
"usm_1",2018-07-07,"mai",225.02815,0.00287,0,0.02323,0.01731,18.9,181,210,237,3.125,0.029,"maize","Associated","2.5D"
"usm_1",2018-07-07,"sor",149.02586,0.00191,0,0.01149,0.01151,18.9,181,226,237,2.8125,0.01,"sorghum","Principal","Beer"
"usm_1",2018-07-07,"sor",149.02913,0.00191,0,0.01149,0.01152,18.9,181,226,237,2.8125,0.01,"sorghum","Principal","2.5D"
"usm_1",2018-07-08,"mai",244.91905,0.00376,0,0.02913,0.02334,19.5,181,210,237,3.125,0.03908,"maize","Associated","Beer"
"usm_1",2018-07-08,"mai",244.92651,0.00376,0,0.02913,0.02334,19.5,181,210,237,3.125,0.03909,"maize","Associated","2.5D"
"usm_1",2018-07-08,"sor",160.56793,0.00231,0,0.01315,0.01435,19.5,181,226,237,2.8125,0.01019,"sorghum","Principal","Beer"
"usm_1",2018-07-08,"sor",160.57332,0.00231,0,0.01315,0.01435,19.5,181,226,237,2.8125,0.01019,"sorghum","Principal","2.5D"
